Item,Category,Quantity,Unit,Location,Purchase Date,Expiration Date,Notes
Salt,Pantry,26,oz,Sink Pantry,,,Iodized
Spicy Chili Crisp,Pantry,670,g,Sink Pantry,,4/9/26,Laoganma
Garlic Powder,Pantry,198,g,Sink Pantry,,,Wollaston's
Gochugaru,Pantry,190,g,Sink Pantry,,12/23/25,"H-Mart, can't read anything else"
Cumin,Pantry,56,g,Sink Pantry,,,Target
Smoked Paprika,Pantry,60,g,Sink Pantry,,,Target
Chili Powder,Pantry,71,g,Sink Pantry,,,Target
Cayenne Pepper,Pantry,53,g,Sink Pantry,,,Target
White Pepper,Pantry,10,g,Sink Pantry,,,Badia
Grill Seasoning,Pantry,170,g,Sink Pantry,,,"Kinder's, Woodfired Garlic with Hardwood Smoked Flavor"
Ground Chipotle,Pantry,70.8,g,Sink Pantry,,,Badia
Ground Cordiander,Pantry,42.5,g,Sink Pantry,,,"Nature's promise, Stop & Stop"
Sesame Seeds,Pantry,62.4,g,Sink Pantry,,,"Nature's promise, Stop & Stop"
Chipotle Chili Powder,Pantry,5,g,Sink Pantry,,,McCormick
Cumin Seeds,Pantry,26,g,Sink Pantry,,,McCormick
Cinnamon,Pantry,56.7,g,Sink Pantry,,,Badia
Cinnamon Sticks,Pantry,9,sticks,Sink Pantry,,,Badia
Ground Nutmeg,Pantry,31,g,Sink Pantry,,,McCormick
Bay Leaves,Pantry,42.5,g,Sink Pantry,,,Badia
Curry Powder,Pantry,56.7,g,Sink Pantry,,,"Badia, Jamaican Style"
M.S.G,Pantry,77.9,g,Sink Pantry,,,Badia
Chicken Bouillon,Pantry,6,Packets,Sink Pantry,,,Goya
Garlic Powder,Pantry,40,g,Sink Pantry,,,McCormick
Ground Ginder,Pantry,34,g,Sink Pantry,,,Trader Joe's
,,,,,,,
Corn Tortillas,Refrigerator,160,tortillas,Refrigerator,,,Guerrero
Chicken Thighs,Refrigerator,1.77,lb,Refrigerator,,4/9/25,Perdue
Gochujang,Refrigerator,35.27,oz,Refrigerator,,1/9/26,CJ Foods
Buffalo Wild Wings Sauce,Refrigerator,4.5,FL oz,Refrigerator,,,Medium Spicy Wing Sauce
Yellow Mustard,Refrigerator,12.5,oz,Refrigerator,,8/5/25,Mike's Amazing
Chopped Garlic,Refrigerator,200,g,Refrigerator,,,La Triguena
Oyster Sauce,Refrigerator,100,g,Refrigerator,,6/15/26,Lee Kum Kee
Butter,Refrigerator,1,Stick,Refrigerator,,,Land Lakes
Sofrito,Refrigerator,280,g,Refrigerator,,11/4/29,Goya
Hot Pepper Sauce ,Refrigerator,2,FL oz,Refrigerator,,,"Grace, Scotch Bonnet Jerk Flavored"
Sweet Chili Sauce,Refrigerator,5,FL oz,Refrigerator,,,Kame
Tobasco Sauce,Refrigerator,100,FL oz,Refrigerator,,,Regular
Wasabi Sauce,Refrigerator,5,FL oz,Refrigerator,,10/23/25,S&M
Sliced Habanero Peppers,Refrigerator,7.4,oz,Refrigerator,,,La Costena
Lime Juice,Refrigerator,6,FL oz,Refrigerator,,,Real Lime
Tomato Paste,Refrigerator,3,oz,Refrigerator,,,Goya
Sweet Relish,Refrigerator,8,FL oz,Refrigerator,,?,Stop & Stop
Mayo,Refrigerator,8,FLoz,Refrigerator,,,Hellman's
Yellow American Cheese,Refrigerator,9,Slices,Refrigerator,,,Stop & Stop
White American Cheese ,Refrigerator,6,Slices,Refrigerator,,,Stop & Stop
,,,,,,,
Pork Gyoza Potstickers,Freezer,Around 48,Potstickers,Freezer,,,Daylee Pride
Udon Noodles,Freezer,10,Packs,Freezer,,,
Ben & Jerry's,Freezer,325,mL,Freezer,,,Churray For Churro Flavor
Grassfed Beef Top Sirloin Cap,Freezer,113,g,Freezer,,,Butcher Box
Grassfed Beef Top Sirloin Steak,Freezer,224,g,Freezer,,,"4 steaks 4oz each, Butcher Box"
Grassfed Beef Sirloin Tips,Freezer,113,g,Freezer,,,Butcher Box
Ground Pork,Freezer,2,lb,Freezer,,,"2 packs 1lb each, Butcher Box"
Grassfed Ground Bison,Freezer,1,lb,Freezer,,,Butcher Box
Grassfed Beef Strip Loin Steak,Freezer,224,g,Freezer,,,"2 steaks 4 oz each, Butcher Box"
Pasteis De Nata,Freezer,2,Nata,Freezer,,,Joey Bats
,,,,,,,
Maruchan Ramen Noodles,Pantry,2,Packs,Pantry,,,Chicken Flavor
Peanut Butter,Pantry,18,oz,Pantry,,,Best Yet
Rotini,Pantry,16,oz,Pantry,,,Stop & Stop
Beef Stock,Pantry,12,oz,Pantry,,,"Unsalted, Kitchen Basics"
Pink Beans,Pantry,439,g,Pantry,,,Goya
Diced Green Chiles,Pantry,113,g,Pantry,,,Goya
Chunk Light Tuna in Water,Pantry,16,oz,Pantry,,,Bumble Bee
Vanilla Flavor,Pantry,1.6,FL oz,Pantry,,,McCormick
Raw Chia Seeds,Pantry,250,g,Pantry,,,Elan
Unpolished Rice Paper,Pantry,25,Sheets,Pantry,,,Morn
Plain Ramen Noodles,Pantry,6,Packs,Pantry,,,Koyo
